,title,link
57,렌터카 3일 빌렸다 4200만원 폭탄…사고 땐 호갱 '차라리 차 살 걸',https://news.google.com/articles/CBMiNWh0dHBzOi8vd3d3Lm1rLmNvLmtyL3ByZW1pdW0vbGlmZS92aWV3LzIwMjEvMDUvMzAyNTIv0gE3aHR0cHM6Ly9tLm1rLmNvLmtyL3ByZW1pdW0vbGlmZS92aWV3LWFtcC8yMDIxLzA1LzMwMjUyLw?hl=ko&gl=KR&ceid=KR%3Ako
58,최근 5년간 무면허 렌터카 교통사고 10명 중 4명은 20세 이하,https://news.google.com/articles/CBMiKmh0dHBzOi8vd3d3LmV0b2RheS5jby5rci9uZXdzL3ZpZXcvMTgxMzMyMtIBAA?hl=ko&gl=KR&ceid=KR%3Ako
59,무면허 운전자가 낸 교통사고…새 신부는 응급실 실려갔다 (움짤),https://news.google.com/articles/CAIiEKw4vwA3VtfEVnq46yqygu0qGQgEKhAIACoHCAowtN_4CjCNp98CMLmi4gY?hl=ko&gl=KR&ceid=KR%3Ako
60,렌터카 소비자 피해 매년 늘어…수리비‧위약금 과다 청구,https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3Lm50b2RheS5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NzkxMzPSAQA?hl=ko&gl=KR&ceid=KR%3Ako
61,차량 절도에 무면허 뺑소니 운전까지…미성년자 운전 '빨간불',https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3Mvc29jaWV0eS92aWV3LzIwMjAvMTEvMTE2MDcwNS_SATlodHRwczovL20ubWsuY28ua3IvbmV3cy9zb2NpZXR5L3ZpZXctYW1wLzIwMjAvMTEvMTE2MDcwNS8?hl=ko&gl=KR&ceid=KR%3Ako
62,[충남도 교통안전 캠페인4] 렌터카 교통사고 폭증… 휴가철 '안전운전' 주의해야,https://news.google.com/articles/CBMiOWh0dHA6Ly93d3cuZGFpbHljYy5uZXQvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTY1NDgxM9IBAA?hl=ko&gl=KR&ceid=KR%3Ako
63,제주서 5년간 교통사고로 376명 사망 대부분 ‘안전운전 위반’,https://news.google.com/articles/CBMiO2h0dHA6Ly93d3cubWVkaWFqZWp1LmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MzMwNjU50gE-aHR0cDovL3d3dy5tZWRpYWplanUuY29tL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz0zMzA2NTk?hl=ko&gl=KR&ceid=KR%3Ako
64,"무면허 10대, 죽음으로 내모는 불법 면허대여 “렌터카,14세에도 빌려줍니다”",https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1NvY2lldHkvYXJ0aWNsZS9hbGwvMjAyMDEwMTQvMTAzNDA1NjA1LzHSATdodHRwczovL3d3dy5kb25nYS5jb20vbmV3cy9hbXAvYWxsLzIwMjAxMDE0LzEwMzQwNTYwNS8x?hl=ko&gl=KR&ceid=KR%3Ako
65,무면허 고등학생 렌터카 사고...1명 사망·4명 부상,https://news.google.com/articles/CAIiEM0viqypGklUkpKvf3kN6IkqGQgEKhAIACoHCAowk_vcCjDo688BMLr6iAI?hl=ko&gl=KR&ceid=KR%3Ako
66,무면허 운전 고교생 가로수 쾅…1명 사망 4명 부상(종합),https://news.google.com/articles/CAIiEEQmEAwAqZH_RNqXOL9A4OUqGQgEKhAIACoHCAow_7ndCjCglNIBMM-ljQI?hl=ko&gl=KR&ceid=KR%3Ako
67,무면허 운전자에게 렌터카 빌려주면 과태료 최대 500만원,https://news.google.com/articles/CBMiLmh0dHBzOi8vd3d3LmFqdW5ld3MuY29tL3ZpZXcvMjAyMDEwMTQwOTU2MjY5MjfSAStodHRwczovL20uYWp1bmV3cy5jb20vYW1wLzIwMjAxMDE0MDk1NjI2OTI3?hl=ko&gl=KR&ceid=KR%3Ako
68,"여중생 렌터카 빌려 사고 ""업체 과실 50%""",https://news.google.com/articles/CBMiPGh0dHBzOi8vbS5sYXd0aW1lcy5jby5rci9Db250ZW50L0Nhc2UtQ3VyYXRpb24_c2VyaWFsPTE0NjAyMdIBAA?hl=ko&gl=KR&ceid=KR%3Ako
69,"무면허로 렌트한 벤츠 몰다 사고낸 10대, 택시 기사 치고 뺑소니",https://news.google.com/articles/CBMiJWh0dHBzOi8vd3d3Lmluc2lnaHQuY28ua3IvbmV3cy8zMzk4MjnSAQA?hl=ko&gl=KR&ceid=KR%3Ako
70,"'무면허 뺑소니' 대학생 죽인 중학생 8명, 처벌은 피하겠지만⋯""4억은 배상해야 합니다""",https://news.google.com/articles/CBMiH2h0dHBzOi8vbmV3cy5sYXd0YWxrLmNvLmtyLzIwMzfSAQA?hl=ko&gl=KR&ceid=KR%3Ako
71,훔친 차로 무면허 사망사고 낸 10대 ‘엄벌’ 청원…단숨에 40만 넘어,https://news.google.com/articles/CBMiPmh0dHBzOi8vbS5raGFuLmNvLmtyL25hdGlvbmFsL2luY2lkZW50L2FydGljbGUvMjAyMDA0MDIxNzE2MDAx0gFCaHR0cHM6Ly9tLmtoYW4uY28ua3IvbmF0aW9uYWwvaW5jaWRlbnQvYXJ0aWNsZS8yMDIwMDQwMjE3MTYwMDEvYW1w?hl=ko&gl=KR&ceid=KR%3Ako
72,"카쉐어링 무면허 불법이용, 생체인증으로 해결",https://news.google.com/articles/CBMiQGh0dHBzOi8vd3d3LmVuZXdzdG9kYXkuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTE0MTkxODDSAQA?hl=ko&gl=KR&ceid=KR%3Ako
